province,city,nowConfirm,confirm,dead,heal,deadRate,healRate,addConfirm
湖北,随州,0,1307,45,1262,3.44,96.56,0
江西,境外输入,0,5,0,5,0.00,100.00,0
江西,新余,0,129,0,129,0.00,100.00,0
江西,赣州,0,74,1,73,1.35,98.65,0
江西,九江,0,116,0,116,0.00,100.00,0
江西,南昌,0,230,0,230,0.00,100.00,0
江西,上饶,0,123,0,123,0.00,100.00,0
江西,抚州,0,72,0,72,0.00,100.00,0
江西,吉安,0,22,0,22,0.00,100.00,0
江西,萍乡,0,33,0,33,0.00,100.00,0
江西,宜春,0,106,0,106,0.00,100.00,0
江西,鹰潭,0,18,0,18,0.00,100.00,0
江西,景德镇,0,6,0,6,0.00,100.00,0
江西,赣江新区,0,1,0,1,0.00,100.00,0
重庆,境外输入,0,15,0,15,0.00,100.00,0
重庆,荣昌区,0,9,0,9,0.00,100.00,0
重庆,大足区,0,14,0,14,0.00,100.00,0
重庆,长寿区,0,22,0,22,0.00,100.00,0
重庆,綦江区,0,23,0,23,0.00,100.00,0
重庆,江北区,0,28,0,28,0.00,100.00,0
重庆,沙坪坝区,0,9,0,9,0.00,100.00,0
重庆,九龙坡区,0,21,1,20,4.76,95.24,0
重庆,南岸区,0,15,0,15,0.00,100.00,0
重庆,丰都县,0,10,0,10,0.00,100.00,0
重庆,潼南区,0,18,0,18,0.00,100.00,0
重庆,铜梁区,0,10,0,10,0.00,100.00,0
重庆,万州区,0,118,4,114,3.39,96.61,0
重庆,两江新区,0,17,0,17,0.00,100.00,0
重庆,巴南区,0,6,0,6,0.00,100.00,0
重庆,渝中区,0,20,0,20,0.00,100.00,0
重庆,垫江县,0,20,0,20,0.00,100.00,0
重庆,云阳县,0,25,0,25,0.00,100.00,0
重庆,奉节县,0,22,0,22,0.00,100.00,0
重庆,石柱县,0,15,0,15,0.00,100.00,0
重庆,涪陵区,0,5,0,5,0.00,100.00,0
重庆,渝北区,0,17,0,17,0.00,100.00,0
重庆,彭水县,0,2,0,2,0.00,100.00,0
重庆,忠县,0,21,0,21,0.00,100.00,0
重庆,开州区,0,21,1,20,4.76,95.24,0
重庆,合川区,0,23,0,23,0.00,100.00,0
重庆,巫溪县,0,14,0,14,0.00,100.00,0
重庆,大渡口区,0,7,0,7,0.00,100.00,0
重庆,巫山县,0,10,0,10,0.00,100.00,0
重庆,万盛经开区,0,1,0,1,0.00,100.00,0
重庆,酉阳县,0,1,0,1,0.00,100.00,0
重庆,璧山区,0,9,0,9,0.00,100.00,0
重庆,高新区,0,4,0,4,0.00,100.00,0
重庆,永川区,0,5,0,5,0.00,100.00,0
重庆,江津区,0,4,0,4,0.00,100.00,0
重庆,武隆区,0,1,0,1,0.00,100.00,0
重庆,梁平区,0,4,0,4,0.00,100.00,0
重庆,城口县,0,2,0,2,0.00,100.00,0
重庆,黔江区,0,2,0,2,0.00,100.00,0
重庆,秀山县,0,1,0,1,0.00,100.00,0
新疆,喀什,0,80,0,80,0.00,100.00,0
新疆,乌鲁木齐,0,845,0,845,0.00,100.00,0
新疆,地区待确认,0,1,0,1,0.00,100.00,0
新疆,昌吉州,0,5,0,5,0.00,100.00,0
