nation,english,confirm,dead,heal,addConfirm,deadRate,healRate
尼加拉瓜,Nicaragua,6299,170,4225,0,2.7,67.07
冰岛,Iceland,6016,29,5954,3,0.48,98.97
吉布提,Djibouti,5936,63,5848,0,1.06,98.52
赤道几内亚,Equatorial Guinea,5534,86,5300,0,1.55,95.77
多哥,Togo,5224,79,4380,58,1.51,83.84
中非共和国,Central African Rep.,4989,63,4885,0,1.26,97.92
索马里,Somalia,4814,132,3720,30,2.74,77.27
尼日尔,Niger,4565,163,3845,17,3.57,84.23
冈比亚,Gambia,4184,132,3876,45,3.15,92.64
贝宁,Benin,4119,54,3552,0,1.31,86.23
塞拉利昂,Sierra Leone,3699,79,2377,39,2.14,64.26
乍得,Chad,3419,121,2544,15,3.54,74.41
圣马力诺,San Marino,3094,68,2773,0,2.2,89.63
科摩罗,Comoros,2892,104,2060,44,3.6,71.23
几内亚比绍,Guinea-Bissau,2662,45,2427,28,1.69,91.17
列支敦士登公国,Liechtenstein,2509,52,2392,0,2.07,95.34
新西兰,New Zealand,2313,25,2228,5,1.08,96.33
厄立特里亚,Eritrea,2309,7,1683,42,0.3,72.89
也门,Yemen,2122,615,1427,0,28.98,67.25
越南,Vietnam,1957,35,1465,46,1.79,74.86
利比里亚,Liberia,1945,84,1766,0,4.32,90.8
蒙古,Mongolia,1890,2,1398,31,0.11,73.97
布隆迪,Burundi,1664,2,773,23,0.12,46.45
巴巴多斯,Barbados,1611,14,1238,25,0.87,76.85
摩纳哥,Monaco,1572,18,1320,29,1.15,83.97
圣卢西亚,Saint Lucia,1556,18,779,86,1.16,50.06
塞舌尔,Seychelles,1279,5,1087,36,0.39,84.99
圣文森特和格林纳丁斯,Saint Vincent and the Grenadines,1059,2,275,0,0.19,25.97
巴布亚新几内亚,Papua New Guinea,867,9,828,0,1.04,95.5
不丹,Bhutan,859,1,847,0,0.12,98.6
钻石号邮轮,,712,13,699,0,1.83,98.17
毛里求斯,Mauritius,584,10,540,1,1.71,92.47
坦桑尼亚,Tanzania,509,21,183,0,4.13,35.95
柬埔寨,Cambodia,467,0,451,1,0,96.57
安提瓜和巴布达,Antigua and Barbuda,249,7,179,0,2.81,71.89
文莱,Brunei,180,3,172,0,1.67,95.56
格林纳达,Grenada,148,1,146,0,0.68,98.65
多米尼克,Dominica,121,0,110,0,0,90.91
东帝汶,Timor-Leste,80,0,57,3,0,71.25
斐济,Fiji,56,2,53,0,3.57,94.64
老挝,Lao DPR,45,0,41,0,0,91.11
圣基茨和尼维斯,Saint Kitts-Nevis,39,0,36,0,0,92.31
马提尼克岛,Martinique,37,1,0,5,2.7,0
梵蒂冈,Vatican City,27,0,15,0,0,55.56
所罗门群岛,Solomon Islands,17,0,10,0,0,58.82
马绍尔群岛,Marshall Islands,4,0,4,0,0,100
瓦努阿图,Vanuatu,1,0,1,0,0,100
